index,reference,hypothesis,codebleu,ngram_match,weighted_ngram_match,syntax_match,dataflow_match,error
0,"def add(a, b):
    return a + b","def sum_two(a, b):
    return a + b",0.8252,0.6435,0.6573,1.0,1.0,
1,"def multiply(x, y):
    return x * y","def mult(a, b):
    return a * b",0.5233,0.0435,0.0497,1.0,1.0,
2,"for i in range(10):
    print(i)","for j in range(10):
    print(j)",0.5657,0.1257,0.137,1.0,1.0,
3,"x = 5
y = x * 2
print(y)","a = 5
b = a * 2
print(b)",0.5379,0.0758,0.0758,1.0,1.0,
4,"def factorial(n):
    if n <= 1:
        return 1
    return n * factorial(n-1)","def fact(n):
    if n <= 1:
        return 1
    return n * fact(n-1)",0.8696,0.7293,0.7493,1.0,1.0,
5,"class Person:
    def __init__(self, name):
        self.name = name","class Human:
    def __init__(self, name):
        self.name = name",0.8566,0.7071,0.7194,1.0,1.0,
6,"import math
print(math.pi)","import math as m
print(m.pi)",0.5209,0.1136,0.2559,0.7143,1.0,
7,"list_nums = [1, 2, 3, 4, 5]
print(sum(list_nums))","numbers = [1, 2, 3, 4, 5]
print(sum(numbers))",0.8402,0.6804,0.6804,1.0,1.0,
8,"def is_even(x):
    return x % 2 == 0","def check_even(num):
    return num % 2 == 0",0.6951,0.3826,0.3976,1.0,1.0,
9,"try:
    result = 10 / 0
except ZeroDivisionError:
    print(""Error"")","try:
    result = 10 / 0
except:
    print(""Division by zero"")",0.7007,0.517,0.5358,0.75,1.0,
